False positive rate,True positive rate,Area
0.0,0.0,60.75
0.0,0.0125,60.75
0.02857142857142857,0.0125,60.75
0.02857142857142857,0.025,60.75
0.05714285714285714,0.025,60.75
0.05714285714285714,0.0375,60.75
0.08571428571428572,0.0375,60.75
0.08571428571428572,0.05,60.75
0.11428571428571428,0.05,60.75
0.37142857142857144,0.55,60.75
0.37142857142857144,0.5625,60.75
0.4,0.5875,60.75
0.4,0.6125,60.75
0.45714285714285713,0.6125,60.75
0.45714285714285713,0.6375,60.75
0.5142857142857142,0.65,60.75
0.5142857142857142,0.7,60.75
0.5428571428571428,0.7,60.75
0.5428571428571428,0.7125,60.75
0.6,0.7125,60.75
0.6,0.725,60.75
0.6,0.75,60.75
0.6,0.825,60.75
0.6285714285714286,0.825,60.75
0.6285714285714286,0.8375,60.75
0.6857142857142857,0.8375,60.75
0.6857142857142857,0.9625,60.75
0.8,0.9625,60.75
0.8,0.975,60.75
0.9428571428571428,0.975,60.75
0.9428571428571428,1.0,60.75
1.0,1.0,60.75
