False positive rate,True positive rate,Area
0.0,0.0,86.94
0.002,0.010416666666666666,86.94
0.004,0.010416666666666666,86.94
0.004,0.020833333333333332,86.94
0.004,0.026041666666666668,86.94
0.008,0.026041666666666668,86.94
0.01,0.036458333333333336,86.94
0.012,0.052083333333333336,86.94
0.012,0.06770833333333333,86.94
0.016,0.06770833333333333,86.94
0.02,0.07291666666666667,86.94
0.032,0.10416666666666667,86.94
0.034,0.10416666666666667,86.94
0.038,0.11458333333333333,86.94
0.044,0.11458333333333333,86.94
0.046,0.125,86.94
0.046,0.13020833333333334,86.94
0.048,0.13541666666666666,86.94
0.048,0.15104166666666666,86.94
0.052,0.171875,86.94
0.054,0.171875,86.94
0.056,0.1875,86.94
0.058,0.19270833333333334,86.94
0.062,0.19791666666666666,86.94
0.066,0.21354166666666666,86.94
0.068,0.234375,86.94
0.07,0.24479166666666666,86.94
0.074,0.265625,86.94
0.074,0.2708333333333333,86.94
0.074,0.28125,86.94
0.076,0.296875,86.94
0.078,0.3177083333333333,86.94
0.08,0.3229166666666667,86.94
0.08,0.3385416666666667,86.94
0.082,0.3541666666666667,86.94
0.086,0.359375,86.94
0.088,0.359375,86.94
0.098,0.3854166666666667,86.94
0.098,0.3958333333333333,86.94
0.1,0.40625,86.94
0.1,0.4114583333333333,86.94
0.104,0.421875,86.94
0.106,0.421875,86.94
0.108,0.4270833333333333,86.94
0.11,0.4270833333333333,86.94
0.11,0.4375,86.94
0.114,0.4583333333333333,86.94
0.118,0.4635416666666667,86.94
0.118,0.4739583333333333,86.94
0.12,0.4947916666666667,86.94
0.122,0.5,86.94
0.126,0.5,86.94
0.126,0.5052083333333334,86.94
0.128,0.5260416666666666,86.94
0.13,0.5364583333333334,86.94
0.134,0.546875,86.94
0.134,0.5572916666666666,86.94
0.136,0.5677083333333334,86.94
0.142,0.5833333333333334,86.94
0.142,0.59375,86.94
0.144,0.5989583333333334,86.94
0.15,0.609375,86.94
0.156,0.625,86.94
0.156,0.6302083333333334,86.94
0.158,0.6458333333333334,86.94
0.158,0.65625,86.94
0.162,0.65625,86.94
0.164,0.6666666666666666,86.94
0.168,0.671875,86.94
0.168,0.6770833333333334,86.94
0.174,0.6927083333333334,86.94
0.18,0.703125,86.94
0.18,0.7239583333333334,86.94
0.182,0.7447916666666666,86.94
0.186,0.7447916666666666,86.94
0.19,0.75,86.94
0.192,0.75,86.94
0.192,0.7604166666666666,86.94
0.194,0.7604166666666666,86.94
0.194,0.7708333333333334,86.94
0.196,0.7760416666666666,86.94
0.2,0.796875,86.94
